iter	RMSE
0	14.24931524
1	14.15564219
2	14.06798476
3	13.97103414
4	13.87492164
5	13.7907649
6	13.73355879
7	13.6560364
8	13.58211868
9	13.50964787
10	13.45763753
11	13.39816525
12	13.34266292
13	13.28443461
14	13.22469661
15	13.18827937
16	13.13623286
17	13.08958547
18	13.04274425
19	13.00913176
20	12.96729999
21	12.92858348
22	12.89861913
23	12.87942763
24	12.84832335
25	12.81409524
26	12.7783065
27	12.75396699
28	12.72433053
29	12.70502963
30	12.67677946
31	12.64641539
32	12.62494246
33	12.60322949
34	12.58478522
35	12.56807952
36	12.55085518
37	12.53033476
38	12.51096617
39	12.48872321
40	12.4652121
41	12.45031743
42	12.43134752
43	12.41165741
44	12.40147167
45	12.38137861
46	12.36563469
47	12.35253124
48	12.33876469
49	12.32714218
50	12.3104862
51	12.30461521
52	12.28675076
53	12.27357062
54	12.26396544
55	12.25176888
56	12.24197965
57	12.23059362
58	12.21798448
59	12.20437471
60	12.19385282
61	12.18058048
62	12.1723559
63	12.16707092
64	12.16110387
65	12.15028876
66	12.13886922
67	12.12626681
68	12.1223517
69	12.11253843
70	12.10536152
71	12.10204632
72	12.09414604
73	12.08620452
74	12.07864226
75	12.0702451
76	12.06161895
77	12.05839728
78	12.05689185
79	12.04892597
80	12.04046274
81	12.02980743
82	12.02875515
83	12.02052875
84	12.0105355
85	12.00331796
86	11.9995082
87	11.99439913
88	11.98422956
89	11.98070501
90	11.97585347
91	11.96940224
92	11.96525946
93	11.95547574
94	11.94876662
95	11.93822959
96	11.93379326
97	11.92811456
98	11.91998767
99	11.91312178
100	11.90904794
101	11.90134906
102	11.89497539
103	11.89450202
104	11.88858815
105	11.88151064
106	11.87792124
107	11.87183097
108	11.86597706
109	11.86145484
110	11.85615885
111	11.85025315
112	11.84412152
113	11.83758874
114	11.83042379
115	11.82321298
116	11.82310415
117	11.82121647
118	11.81514292
119	11.81044102
120	11.81003762
121	11.8097863
122	11.80271025
123	11.8020635
124	11.79803242
125	11.79628351
126	11.78928179
127	11.78554862
128	11.78542348
129	11.78050918
130	11.77605509
131	11.7742751
132	11.77033159
133	11.77003095
134	11.76640537
135	11.76396044
136	11.75871386
137	11.75765377
138	11.75084721
139	11.75061041
140	11.74772806
141	11.74550667
142	11.74378139
143	11.74273124
144	11.73867356
145	11.73347495
146	11.73177394
147	11.72418485
148	11.72386491
149	11.71923563
150	11.71596584
151	11.71284502
152	11.70961852
153	11.70598327
154	11.70026526
155	11.69553455
156	11.69191732
157	11.69188867
158	11.68796414
159	11.68672459
160	11.68328867
161	11.67879468
162	11.67618745
163	11.67282422
164	11.67122861
165	11.66799121
166	11.66485399
167	11.66017599
168	11.6582432
169	11.65492696
170	11.65244533
171	11.64981192
172	11.6472104
173	11.64408291
174	11.64406689
175	11.642596
176	11.64171266
177	11.63870179
178	11.63713072
179	11.634546
180	11.62976621
181	11.62608151
182	11.62464498
183	11.62239734
184	11.62158963
185	11.61906487
186	11.61686512
187	11.61676716
188	11.61345053
189	11.60787786
190	11.60375737
191	11.59951213
192	11.59786488
193	11.593796
194	11.59169853
195	11.58738768
196	11.58478069
197	11.58105064
198	11.57782551
199	11.57473696
200	11.57273747
201	11.5714111
202	11.56903753
203	11.56543745
204	11.56216241
205	11.56211227
206	11.5597206
207	11.55644248
208	11.55297702
209	11.55117989
210	11.54660096
211	11.54477365
212	11.53984626
213	11.53673585
214	11.53411606
215	11.53190662
216	11.53024009
217	11.52852871
218	11.52622647
219	11.52413543
220	11.52044047
221	11.51835692
222	11.5181427
223	11.51793965
224	11.51612924
225	11.51425803
226	11.51008278
227	11.50737476
228	11.50429921
229	11.50054511
230	11.49866805
231	11.49744475
232	11.49252828
233	11.49029811
234	11.48888668
235	11.48814415
236	11.48570991
237	11.48183758
238	11.47887284
239	11.47692347
240	11.47454404
241	11.47091583
242	11.46844327
243	11.46671963
244	11.46508615
245	11.46398322
246	11.460526
247	11.45785726
248	11.45623976
249	11.45447533
250	11.45240811
251	11.45065015
252	11.44898988
253	11.44805494
254	11.44652764
255	11.44323026
256	11.44082994
257	11.43769659
258	11.43636481
259	11.43445901
260	11.43332519
261	11.4317096
262	11.42874907
263	11.42552331
264	11.42158363
265	11.42004394
266	11.41911635
267	11.41633331
268	11.41475098
269	11.41370418
270	11.4117416
271	11.41073775
272	11.40917512
273	11.40793604
274	11.40629338
275	11.40361645
276	11.40157642
277	11.39957868
278	11.39673278
279	11.39585134
280	11.39371431
281	11.39223914
282	11.39086453
283	11.38993519
284	11.38727362
285	11.38635931
286	11.38382827
287	11.38158523
288	11.38061613
289	11.37870322
290	11.37642857
291	11.37446935
292	11.37179847
293	11.3698269
294	11.36760212
295	11.36502636
296	11.36369722
297	11.36135924
298	11.3592623
299	11.3561055
300	11.3551409
301	11.35378645
302	11.35310739
303	11.35133205
304	11.35022105
305	11.34814611
306	11.347356
307	11.34579524
308	11.34475406
309	11.34399286
310	11.34341097
311	11.34105803
312	11.33974972
313	11.33864837
314	11.33666607
315	11.3347545
316	11.33256371
317	11.33183131
318	11.33023168
319	11.32952525
320	11.32876629
321	11.3276191
322	11.32608862
323	11.32388851
324	11.32242601
325	11.32176707
326	11.32109645
327	11.31935026
328	11.31850095
329	11.31759885
330	11.31605464
331	11.31520256
332	11.31371494
333	11.3119855
334	11.31102922
335	11.31018464
336	11.30961426
337	11.30783931
338	11.30722826
339	11.30548966
340	11.30354069
341	11.30217378
342	11.30168879
343	11.29981053
344	11.29922767
345	11.29683825
346	11.29558033
347	11.29463921
348	11.29399644
349	11.293197
350	11.29166196
351	11.29030517
352	11.2887859
353	11.28823873
354	11.28770383
355	11.28655488
356	11.28556976
357	11.28502159
358	11.28389832
359	11.28298313
360	11.28146364
361	11.28024552
362	11.27975352
363	11.27886476
364	11.27745112
365	11.27605489
366	11.27435121
367	11.27328204
368	11.27256125
369	11.27204949
370	11.27096588
371	11.27035663
372	11.2698646
373	11.26904215
374	11.26840785
375	11.26769847
376	11.26720366
377	11.26580514
378	11.26515887
379	11.2640618
380	11.26348496
381	11.26218486
382	11.26011149
383	11.2590845
384	11.25813503
385	11.25690367
386	11.25604793
387	11.25536855
388	11.25436764
389	11.25311894
390	11.2514601
391	11.25016115
392	11.2488001
393	11.24736797
394	11.24643947
395	11.2453346
396	11.24499381
397	11.24409341
398	11.24332551
399	11.24290274
400	11.24249674
401	11.24128717
402	11.24094338
403	11.24026197
404	11.24000108
405	11.23946346
406	11.23826407
407	11.23728915
408	11.23664648
409	11.23620185
410	11.23492091
411	11.23382877
412	11.23244601
413	11.23073167
414	11.22964544
415	11.2289795
416	11.22819826
417	11.22677108
418	11.22563456
419	11.2246891
420	11.22344512
421	11.22251248
422	11.22219208
423	11.22093598
424	11.22042413
425	11.21915196
426	11.21872665
427	11.2183239
428	11.21733306
429	11.21611859
430	11.21571087
431	11.21507673
432	11.21412725
433	11.21302909
434	11.21216643
435	11.21164498
436	11.21130719
437	11.21057611
438	11.20914887
439	11.20886387
440	11.20798724
441	11.2069247
442	11.2059078
443	11.20534548
444	11.2044748
445	11.20343577
446	11.20223773
447	11.20197202
448	11.20113151
449	11.20067084
450	11.2002325
451	11.19964365
452	11.19912368
453	11.19856047
454	11.19804911
455	11.1970694
456	11.19657634
457	11.19630507
458	11.19595075
459	11.19529665
460	11.19436549
461	11.19407076
462	11.19344814
463	11.19253207
464	11.19195407
465	11.19113554
466	11.19054115
467	11.18966111
468	11.18882043
469	11.18769049
470	11.18718355
471	11.18659463
472	11.18588352
473	11.18476451
474	11.1841754
475	11.18334401
476	11.18253355
477	11.18214105
478	11.18163167
479	11.18129058
480	11.18054128
481	11.1798157
482	11.1796015
483	11.17901747
484	11.1785394
485	11.17811136
486	11.17775986
487	11.17725943
488	11.17698226
489	11.17673763
490	11.1762241
491	11.17605512
492	11.17506107
493	11.17459276
494	11.17389878
495	11.17346425
496	11.17317478
497	11.17215204
498	11.17197993
499	11.17151724
500	11.17078679
501	11.17048208
502	11.17008395
503	11.16997051
504	11.16968885
505	11.16927035
506	11.16897701
507	11.16855404
508	11.1679089
509	11.16766163
510	11.16690739
511	11.1660391
512	11.16571795
513	11.16498277
514	11.16451594
515	11.16407772
516	11.16332969
517	11.16251151
518	11.16212654
519	11.16165928
520	11.16106448
521	11.16041016
522	11.15978017
523	11.15945695
524	11.15921159
525	11.1589478
526	11.15858895
527	11.15785514
528	11.15760196
529	11.15702189
530	11.1566331
531	11.15649071
532	11.1563403
533	11.15614808
534	11.15581668
535	11.15564145
536	11.15509238
537	11.15455728
538	11.15397037
539	11.15341434
540	11.15275754
541	11.15250912
542	11.15218368
543	11.15202937
544	11.15149807
545	11.15109906
546	11.15068605
547	11.15043562
548	11.15010599
549	11.14998359
550	11.14978718
551	11.14958179
552	11.14878929
553	11.14824628
554	11.14811218
555	11.14764127
556	11.14697439
557	11.14675894
558	11.14664786
559	11.14636768
560	11.14617106
561	11.14594797
562	11.1454066
563	11.14462574
564	11.14434396
565	11.1438958
566	11.14359292
567	11.1430993
568	11.14281805
569	11.1423892
570	11.14176877
571	11.14104423
572	11.1405457
573	11.14024052
574	11.14000592
575	11.13979134
576	11.13931513
577	11.13875828
578	11.13859699
579	11.13818968
580	11.13799176
581	11.13753642
582	11.13702585
583	11.13678272
584	11.136343
585	11.13555517
586	11.13494813
587	11.13477076
588	11.13456989
589	11.13423955
590	11.13400643
591	11.13367761
592	11.13356435
593	11.13336913
594	11.13291538
595	11.13276255
596	11.13204427
597	11.13172131
598	11.13148852
599	11.13107792
600	11.1303017
601	11.12991796
602	11.12943084
603	11.12926934
604	11.12864582
605	11.12830371
606	11.12815888
607	11.1279448
608	11.12777531
609	11.12743767
610	11.12695422
611	11.12658821
612	11.12635803
613	11.12589387
614	11.12566822
615	11.12557192
616	11.12536329
617	11.12516978
618	11.1249324
619	11.124813
620	11.12461342
621	11.12431913
622	11.12388504
623	11.12359896
624	11.1232996
625	11.12296637
